"ID","球员","调整前等级","正式等级","位置","球队/标签","调整说明"
"fisher","德里克·费舍尔","B","C","PG","湖人","按确认比例与球员定位调整"
"fox","里克·福克斯","C","C","SF","湖人","保留"
"byron_scott","拜伦·斯科特","B","B","SG","湖人","保留"
"worthy","詹姆斯·沃西","A","B","SF","湖人","按确认比例与球员定位调整"
"ac_green","AC·格林","C","C","PF","湖人","保留"
"griffin","布雷克·格里芬","A","B","PF","快船","按确认比例与球员定位调整"
"deandre","德安德烈·乔丹","B","B","C","快船","保留"
"mchale","凯文·麦克海尔","S","A","PF","凯尔特人","按确认比例与球员定位调整"
"parish","罗伯特·帕里什","A","B","C","凯尔特人","按确认比例与球员定位调整"
"love","凯文·乐福","A","B","PF","骑士","按确认比例与球员定位调整"
"reggie","雷吉·米勒","S","A","SG","步行者","按确认比例与球员定位调整"
"amare","阿马雷·斯塔德迈尔","A","B","PF","太阳","按确认比例与球员定位调整"
"marion","肖恩·马里昂","A","B","SF","太阳","按确认比例与球员定位调整"
"murray","贾马尔·穆雷","A","B","PG","掘金","按确认比例与球员定位调整"
"aaron_gordon","阿隆·戈登","B","B","PF","掘金","保留"
"wilkins","多米尼克·威尔金斯","S","A","SF","老鹰","按确认比例与球员定位调整"
"wilt","威尔特·张伯伦","S","S","C","湖人","保留"
"russell","比尔·拉塞尔","S","S","C","凯尔特人","保留"
"oscar","奥斯卡·罗伯特森","S","A","PG","雄鹿","按确认比例与球员定位调整"
"west","杰里·韦斯特","S","A","SG","湖人","按确认比例与球员定位调整"
"baylor","埃尔金·贝勒","S","A","SF","湖人","按确认比例与球员定位调整"
"moses","摩西·马龙","S","A","C","76人","按确认比例与球员定位调整"
"barkley","查尔斯·巴克利","S","A","PF","太阳","按确认比例与球员定位调整"
"drexler","克莱德·德雷克斯勒","A","B","SG","开拓者","按确认比例与球员定位调整"
"mullin","克里斯·穆林","A","B","SF","勇士","按确认比例与球员定位调整"
"payton","加里·佩顿","A","B","PG","超音速","按确认比例与球员定位调整"
"kemp","肖恩·坎普","A","B","PF","超音速","按确认比例与球员定位调整"
"penny","安芬尼·哈达威","A","B","PG","魔术","按确认比例与球员定位调整"
"grant_hill","格兰特·希尔","A","B","SF","活塞","按确认比例与球员定位调整"
"yao","姚明","A","B","C","火箭","按确认比例与球员定位调整"
"billups","昌西·比卢普斯","A","B","PG","活塞","按确认比例与球员定位调整"
"rip","理查德·汉密尔顿","B","B","SG","活塞","保留"
"rasheed","拉希德·华莱士","A","B","PF","活塞","按确认比例与球员定位调整"
"webber","克里斯·韦伯","A","B","PF","国王","按确认比例与球员定位调整"
"peja","佩贾·斯托贾科维奇","A","B","SF","国王","按确认比例与球员定位调整"
"rondo","拉简·隆多","B","B","PG","凯尔特人","保留"
"erving","朱利叶斯·欧文","S","A","SF","76人","按确认比例与球员定位调整"
"brunson","杰伦·布伦森","A","B","PG","尼克斯","按确认比例与球员定位调整"
"shai","谢伊·吉尔杰斯-亚历山大","S","A","SG","雷霆","按确认比例与球员定位调整"
"edwards","安东尼·爱德华兹","A","B","SG","森林狼","按确认比例与球员定位调整"
"king_lebron","天选·詹姆斯","SSR","SSR","SF","巅峰传奇","重新设计"
"air_jordan","GOAT·乔丹","SSR","SSR","SG","巅峰传奇","重新设计"
"mamba_kobe","黑曼巴·科比","SSR","SSR","SG","巅峰传奇","保留"
"chef_curry","三分王·库里","SSR","SSR","PG","巅峰传奇","重新设计"
"diesel_shaq","大鲨鱼·奥尼尔","SSR","SSR","C","巅峰传奇","保留"
"showtime_magic","魔术师·约翰逊","SSR","SSR","PG","巅峰传奇","保留"
"reaper_durant","死神·杜兰特","SSR","SSR","SF","巅峰传奇","保留"
