"羁绊","人数","成员","效果"
"表演时刻","2","埃尔文·约翰逊、卡里姆·阿卜杜尔-贾巴尔","控球 +2 · 篮下 +2 · 每关奖金 +1"
"达拉斯双星","2","德克·诺维茨基、史蒂夫·纳什","中投 +2 · 控球 +2 · 每关奖金 +1"
"魔鸟争霸","2","埃尔文·约翰逊、拉里·伯德","控球 +4 · 中投 +4"
"飞人传承","2","迈克尔·乔丹、科比·布莱恩特","中投 +4 · 突破 +4"
"坏孩子双枪","2","伊赛亚·托马斯、乔·杜马斯","控球 +2 · 防守 +2 · 胜利奖金 +1"
"九四中锋决战","2","哈基姆·奥拉朱旺、帕特里克·尤因","篮下 +4 · 防守 +4"
"独行侠双核","2","卢卡·东契奇、凯里·欧文","控球 +4 · 中投 +4"
"篮网飞翼","2","贾森·基德、文斯·卡特","控球 +2 · 突破 +2 · 胜利奖金 +1"
"雷霆三少","3","凯文·杜兰特、拉塞尔·威斯布鲁克、詹姆斯·哈登","突破 +4 · 三分 +3 · 控球 +2 · 胜利奖金 +1"
"南海岸三巨头","3","勒布朗·詹姆斯、德维恩·韦德、克里斯·波什","突破 +4 · 篮下 +3 · 防守 +2 · 每关奖金 +1"
"绿军三巨头","3","保罗·皮尔斯、凯文·加内特、雷·阿伦","中投 +3 · 三分 +3 · 防守 +3 · 胜利奖金 +1"
"公牛铁三角","3","迈克尔·乔丹、斯科蒂·皮蓬、丹尼斯·罗德曼","防守 +4 · 中投 +3 · 突破 +2 · 胜利奖金 +1"
"GDP","3","蒂姆·邓肯、托尼·帕克、马努·吉诺比利","篮下 +3 · 控球 +3 · 防守 +4 · 每关奖金 +1"
"篮网三巨头","3","凯文·杜兰特、詹姆斯·哈登、凯里·欧文","中投 +3 · 三分 +3 · 控球 +2 · 胜利奖金 +1"
"空接之城","3","克里斯·保罗、布雷克·格里芬、德安德烈·乔丹","控球 +3 · 突破 +3 · 篮下 +3 · 胜利奖金 +1"
"凯尔特人王朝","3","拉里·伯德、凯文·麦克海尔、罗伯特·帕里什","中投 +3 · 篮下 +3 · 防守 +4 · 每关奖金 +1"
"OK3","3","拉塞尔·威斯布鲁克、保罗·乔治、卡梅隆·安东尼","突破 +3 · 中投 +3 · 三分 +2 · 胜利奖金 +1"
"曼巴门徒","3","科比·布莱恩特、凯里·欧文、杰森·塔图姆","中投 +4 · 控球 +3 · 突破 +2 · 每关奖金 +1"
"骑士三巨头","3","勒布朗·詹姆斯、凯里·欧文、凯文·乐福","突破 +3 · 三分 +3 · 篮下 +2 · 每关奖金 +1"
"划时代射手","3","雷吉·米勒、雷·阿伦、斯蒂芬·库里","三分 +6 · 中投 +3 · 每关奖金 +1"
"7秒进攻","3","史蒂夫·纳什、阿马雷·斯塔德迈尔、肖恩·马里昂","控球 +3 · 篮下 +3 · 防守 +2 · 每关奖金 +1"
"掘金三核","3","尼古拉·约基奇、贾马尔·穆雷、阿隆·戈登","控球 +3 · 中投 +3 · 篮下 +4 · 每关奖金 +1"
"万花筒","3","科比·布莱恩特、卡梅隆·安东尼、凯文·杜兰特","中投 +4 · 三分 +2 · 突破 +3 · 胜利奖金 +1"
"球场指挥官","3","克里斯·保罗、贾森·基德、史蒂夫·纳什","控球 +5 · 中投 +2 · 防守 +2 · 胜利奖金 +1"
"暴力扣将","3","多米尼克·威尔金斯、文斯·卡特、布雷克·格里芬","突破 +5 · 篮下 +4 · 胜利奖金 +1"
"四大分位","4","科比·布莱恩特、特雷西·麦克格雷迪、文斯·卡特、阿伦·艾弗森","中投 +4 · 突破 +4 · 控球 +2 · 三分 +2 · 胜利奖金 +2"
"香蕉船兄弟","4","勒布朗·詹姆斯、德维恩·韦德、克里斯·保罗、卡梅隆·安东尼","突破 +3 · 控球 +2 · 中投 +3 · 篮下 +2 · 每关奖金 +3"
"96黄金一代","4","科比·布莱恩特、阿伦·艾弗森、史蒂夫·纳什、雷·阿伦","三分 +4 · 控球 +3 · 突破 +3 · 中投 +3 · 每关免费招募 +1"
"欧洲天王","4","德克·诺维茨基、保罗·加索尔、尼古拉·约基奇、卢卡·东契奇","中投 +4 · 控球 +3 · 篮下 +4 · 三分 +2 · 每关免费招募 +1"
"坏孩子军团","4","伊赛亚·托马斯、乔·杜马斯、比尔·兰比尔、丹尼斯·罗德曼","防守 +5 · 控球 +2 · 篮下 +2 · 中投 +2 · 胜利奖金 +2"
"四大中锋","4","哈基姆·奥拉朱旺、沙奎尔·奥尼尔、大卫·罗宾逊、帕特里克·尤因","篮下 +8 · 防守 +8 · 中投 +3"
"四大神射","4","斯蒂芬·库里、雷吉·米勒、克莱·汤普森、佩贾·斯托贾科维奇","三分 +6 · 中投 +3 · 控球 +2 · 每关奖金 +2"
"圣城四柱","4","蒂姆·邓肯、科怀·伦纳德、大卫·罗宾逊、托尼·帕克","防守 +5 · 篮下 +3 · 中投 +2 · 控球 +1 · 胜利奖金 +2"
"全能大前锋","4","扬尼斯·阿德托昆博、凯文·加内特、查尔斯·巴克利、勒布朗·詹姆斯","篮下 +3 · 突破 +3 · 防守 +3 · 控球 +2 · 胜利奖金 +2"
"湖人四代核心","4","埃尔文·约翰逊、卡里姆·阿卜杜尔-贾巴尔、杰里·韦斯特、埃尔金·贝勒","控球 +3 · 篮下 +3 · 中投 +3 · 突破 +3 · 每关奖金 +2"
"绿军四代基石","4","拉里·伯德、比尔·拉塞尔、凯文·麦克海尔、凯文·加内特","防守 +5 · 篮下 +3 · 中投 +3 · 三分 +1 · 每关奖金 +2"
"锋卫得分王","4","迈克尔·乔丹、多米尼克·威尔金斯、朱利叶斯·欧文、凯文·杜兰特","中投 +3 · 突破 +4 · 三分 +2 · 篮下 +2 · 胜利奖金 +2"
"节奏掌控者","4","谢伊·吉尔杰斯-亚历山大、奥斯卡·罗伯特森、詹姆斯·哈登、卢卡·东契奇","控球 +5 · 突破 +3 · 中投 +3 · 三分 +1 · 胜利奖金 +2"
"禁区统治者","4","威尔特·张伯伦、比尔·拉塞尔、摩西·马龙、卡里姆·阿卜杜尔-贾巴尔","篮下 +9 · 防守 +8 · 中投 +3"
"死亡五小","5","斯蒂芬·库里、克莱·汤普森、安德烈·伊戈达拉、凯文·杜兰特、德雷蒙德·格林","三分 +5 · 控球 +3 · 防守 +4 · 中投 +2 · 突破 +1 · 每关免费招募 +2"
"公牛王朝","5","罗恩·哈珀、迈克尔·乔丹、斯科蒂·皮蓬、丹尼斯·罗德曼、卢克·朗利","防守 +6 · 中投 +4 · 突破 +3 · 控球 +2 · 每关奖金 +4"
"OK王朝","5","德里克·费舍尔、科比·布莱恩特、里克·福克斯、罗伯特·霍里、沙奎尔·奥尼尔","篮下 +6 · 中投 +5 · 三分 +4 · 防守 +3 · 胜利奖金 +3"
"Showtime","5","埃尔文·约翰逊、拜伦·斯科特、詹姆斯·沃西、AC·格林、卡里姆·阿卜杜尔-贾巴尔","控球 +6 · 篮下 +5 · 中投 +3 · 突破 +2 · 每关奖金 +4"
"最终答案","5","埃尔文·约翰逊、迈克尔·乔丹、勒布朗·詹姆斯、蒂姆·邓肯、沙奎尔·奥尼尔","控球 +3 · 中投 +3 · 突破 +3 · 篮下 +3 · 防守 +3 · 胜利奖金 +3 · 每关奖金 +4"
