"ID","球员","等级","位置","球队/标签","推荐槽位","三分","中投","突破","控球","篮下","防守","专属天赋","SR原型"
"love","凯文·乐福","A","PF","骑士","三分","89","87","78","84","88","85","长传炮台",""
"reggie","雷吉·米勒","S","SG","步行者","三分","97","93","90","91","84","84","米勒时刻",""
"amare","阿马雷·斯塔德迈尔","A","PF","太阳","篮下","73","87","92","80","91","83","太阳风暴",""
"marion","肖恩·马里昂","A","SF","太阳","防守","82","82","89","83","87","92","骇客全能",""
"murray","贾马尔·穆雷","A","PG","掘金","中投","89","91","88","90","81","79","季后赛升温",""
"aaron_gordon","阿隆·戈登","B","PF","掘金","篮下","75","77","84","75","83","83","高空协防",""
"wilkins","多米尼克·威尔金斯","S","SF","老鹰","突破","86","95","99","92","95","89","人类电影精华",""
"wilt","威尔特·张伯伦","S","C","湖人","篮下","60","88","95","86","99","97","百分神迹",""
"russell","比尔·拉塞尔","S","C","凯尔特人","防守","60","83","88","85","95","99","冠军基石",""
"oscar","奥斯卡·罗伯特森","S","PG","雄鹿","控球","90","96","95","98","93","93","三双先驱",""
"west","杰里·韦斯特","S","SG","湖人","中投","95","96","95","96","88","92","标志原型",""
"baylor","埃尔金·贝勒","S","SF","湖人","突破","84","95","98","93","95","90","空中先驱",""
"moses","摩西·马龙","S","C","76人","篮下","61","88","87","83","98","96","进攻篮板王",""
"barkley","查尔斯·巴克利","S","PF","太阳","篮下","84","93","95","92","96","93","空中飞猪",""
"drexler","克莱德·德雷克斯勒","A","SG","开拓者","突破","84","88","92","88","87","86","滑翔机",""
"mullin","克里斯·穆林","A","SF","勇士","中投","90","91","83","86","84","81","左手神射",""
"payton","加里·佩顿","A","PG","超音速","防守","86","88","87","91","83","90","手套压迫",""
"kemp","肖恩·坎普","A","PF","超音速","篮下","65","83","92","79","91","88","雨人暴扣",""
"penny","安芬尼·哈达威","A","PG","魔术","控球","86","89","91","93","86","85","便士魔法",""
"grant_hill","格兰特·希尔","A","SF","活塞","突破","83","89","92","90","88","88","全能前锋",""
"yao","姚明","A","C","火箭","篮下","79","90","77","81","93","90","长城天勾",""
"billups","昌西·比卢普斯","A","PG","活塞","控球","89","88","85","92","82","87","大心脏控卫",""
"rip","理查德·汉密尔顿","B","SG","活塞","中投","80","84","80","79","75","76","无球永动",""
"rasheed","拉希德·华莱士","A","PF","活塞","防守","85","87","81","83","89","91","怒吼协防",""
"webber","克里斯·韦伯","A","PF","国王","控球","81","90","86","90","91","88","高位华章",""
"peja","佩贾·斯托贾科维奇","A","SF","国王","三分","92","89","80","83","82","80","国王神射",""
"rondo","拉简·隆多","B","PG","凯尔特人","控球","71","78","82","86","73","83","季后赛指挥",""
"erving","朱利叶斯·欧文","S","SF","76人","突破","86","95","99","93","96","93","J博士飞行",""
"brunson","杰伦·布伦森","A","PG","尼克斯","中投","87","91","90","91","82","81","低重心脚步",""
"shai","谢伊·吉尔杰斯-亚历山大","S","SG","雷霆","突破","92","97","98","97","92","93","节奏切割",""
"edwards","安东尼·爱德华兹","A","SG","森林狼","突破","87","89","93","89","87","88","蚁人升空",""
"king_lebron","皇帝·詹姆斯","SR","SF","巅峰传奇","突破","105","106","108","109","108","107","君临全场","勒布朗·詹姆斯"
"air_jordan","飞人·乔丹","SR","SG","巅峰传奇","中投","104","108","110","108","109","109","制空绝杀","迈克尔·乔丹"
"mamba_kobe","黑曼巴·科比","SR","SG","巅峰传奇","中投","106","109","107","107","106","104","曼巴时刻","科比·布莱恩特"
"chef_curry","厨神·库里","SR","PG","巅峰传奇","三分","109","107","104","109","97","99","引力领域","斯蒂芬·库里"
"diesel_shaq","大鲨鱼·奥尼尔","SR","C","巅峰传奇","篮下","84","100","105","100","110","109","禁区粉碎","沙奎尔·奥尼尔"
"showtime_magic","魔术师·约翰逊","SR","PG","巅峰传奇","控球","104","106","108","111","107","105","表演时刻","埃尔文·约翰逊"
"big_ticket_garnett","狼王·加内特","SR","PF","巅峰传奇","防守","101","107","105","103","109","110","怒吼统治","凯文·加内特"
"dream_hakeem","大梦·奥拉朱旺","SR","C","巅峰传奇","防守","83","107","104","103","111","112","梦幻迷宫","哈基姆·奥拉朱旺"
"greek_giannis","希腊怪兽·字母哥","SR","PF","巅峰传奇","突破","98","103","112","106","110","110","一人成军","扬尼斯·阿德托昆博"
"reaper_durant","死神·杜兰特","SR","SF","巅峰传奇","中投","109","111","106","105","108","104","无差别终结","凯文·杜兰特"
